OBJECTID,ntd_id,shape_id,route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_type_text,route_url,route_color,route_color_formatted,route_text_color,route_text_color_formatted,download_date,Shape__Length
34848,40022,124244,23617,MARTA,82,Camp Creek / South Fulton Parkway,,3,Bus,https://itsmarta.com/82.aspx,008000,"(0, 128, 0)",0,"(0, 0, 0)",12/02/2024,0.273114009791349
34849,40022,124247,23619,MARTA,84,Washington Rd/Camp Crk Marketplace,,3,Bus,https://itsmarta.com/84.aspx,00ffff,"(0, 255, 255)",0,"(0, 0, 0)",12/02/2024,0.134834855340615
34850,40022,124248,23619,MARTA,84,Washington Rd/Camp Crk Marketplace,,3,Bus,https://itsmarta.com/84.aspx,00ffff,"(0, 255, 255)",0,"(0, 0, 0)",12/02/2024,0.127013266852043
34851,40022,124249,23620,MARTA,85,Roswell,,3,Bus,https://itsmarta.com/85.aspx,008000,"(0, 128, 0)",0,"(0, 0, 0)",12/02/2024,0.171665726878905
34852,40022,124250,23620,MARTA,85,Roswell,,3,Bus,https://itsmarta.com/85.aspx,008000,"(0, 128, 0)",0,"(0, 0, 0)",12/02/2024,0.162260885005429
34853,40022,124254,23622,MARTA,87,Roswell Road / Sandy Springs,,3,Bus,https://itsmarta.com/87.aspx,00ffff,"(0, 255, 255)",0,"(0, 0, 0)",12/02/2024,0.193627179053937
34854,40022,124255,23622,MARTA,87,Roswell Road / Sandy Springs,,3,Bus,https://itsmarta.com/87.aspx,00ffff,"(0, 255, 255)",0,"(0, 0, 0)",12/02/2024,0.195388080705958
34855,40022,124256,23623,MARTA,89,Old National Highway,,3,Bus,https://itsmarta.com/89.aspx,ff8040,"(255, 128, 64)",0,"(0, 0, 0)",12/02/2024,0.214233716120391
34856,40022,124257,23623,MARTA,89,Old National Highway,,3,Bus,https://itsmarta.com/89.aspx,ff8040,"(255, 128, 64)",0,"(0, 0, 0)",12/02/2024,0.209572621661928
34857,40022,124258,23623,MARTA,89,Old National Highway,,3,Bus,https://itsmarta.com/89.aspx,ff8040,"(255, 128, 64)",0,"(0, 0, 0)",12/02/2024,0.204627126675553
34858,40022,124259,23623,MARTA,89,Old National Highway,,3,Bus,https://itsmarta.com/89.aspx,ff8040,"(255, 128, 64)",0,"(0, 0, 0)",12/02/2024,0.205947898170859
34859,40022,124260,23624,MARTA,93,Headland Drive / Main Street,,3,Bus,https://itsmarta.com/93.aspx,00ffff,"(0, 255, 255)",0,"(0, 0, 0)",12/02/2024,0.146241160495229
34860,40022,124261,23624,MARTA,93,Headland Drive / Main Street,,3,Bus,https://itsmarta.com/93.aspx,00ffff,"(0, 255, 255)",0,"(0, 0, 0)",12/02/2024,0.145366819191378
34861,40022,124262,23625,MARTA,94,Northside Drive,,3,Bus,https://itsmarta.com/94.aspx,008000,"(0, 128, 0)",0,"(0, 0, 0)",12/02/2024,0.103569266866395
